Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,6.0,,0 days 00:00:33.518000,,,1.0,SOFT,6.0,125,Australian Grand Prix,Q,2026
NOR,McLaren,7.0,,,0 days 00:00:20.382000,0 days 00:00:37.640000,2.0,SOFT,7.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,8.0,0 days 00:01:35.054000,0 days 00:00:30.482000,0 days 00:00:19.839000,0 days 00:00:44.733000,2.0,SOFT,8.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,9.0,0 days 00:01:32.802000,0 days 00:00:29.799000,0 days 00:00:22.215000,0 days 00:00:40.788000,2.0,SOFT,9.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,10.0,0 days 00:01:20.010000,0 days 00:00:28.019000,0 days 00:00:17.765000,0 days 00:00:34.226000,2.0,SOFT,10.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,11.0,,0 days 00:01:05.513000,0 days 00:00:20.772000,,2.0,SOFT,11.0,12,Australian Grand Prix,Q,2026
NOR,McLaren,12.0,0 days 00:01:58.308000,0 days 00:01:00.129000,0 days 00:00:20.055000,0 days 00:00:38.124000,3.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,13.0,0 days 00:01:38.007000,0 days 00:00:29.931000,0 days 00:00:19.674000,0 days 00:00:48.402000,3.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,14.0,0 days 00:01:19.882000,0 days 00:00:27.903000,0 days 00:00:17.642000,0 days 00:00:34.337000,3.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,15.0,,0 days 00:00:32.903000,0 days 00:00:21.581000,,3.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,16.0,0 days 00:01:51.016000,0 days 00:00:47.139000,0 days 00:00:19.803000,0 days 00:00:44.074000,4.0,SOFT,5.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,17.0,0 days 00:01:19.909000,0 days 00:00:27.798000,0 days 00:00:17.804000,0 days 00:00:34.307000,4.0,SOFT,6.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,18.0,,0 days 00:00:33.728000,0 days 00:00:24.045000,,4.0,SOFT,7.0,12,Australian Grand Prix,Q,2026
NOR,McLaren,19.0,0 days 00:01:36.255000,0 days 00:00:37.049000,0 days 00:00:20.101000,0 days 00:00:39.105000,5.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,20.0,,,,,5.0,SOFT,2.0,152,Australian Grand Prix,Q,2026
NOR,McLaren,21.0,0 days 00:01:54.507000,0 days 00:00:45.063000,0 days 00:00:19.971000,0 days 00:00:49.473000,6.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,22.0,0 days 00:01:19.605000,0 days 00:00:27.954000,0 days 00:00:17.574000,0 days 00:00:34.077000,6.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,23.0,,0 days 00:00:32.617000,0 days 00:00:21.218000,,6.0,SOFT,5.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,24.0,0 days 00:01:56.603000,0 days 00:00:52.210000,0 days 00:00:23.462000,0 days 00:00:40.931000,7.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
NOR,McLaren,25.0,0 days 00:01:19.475000,0 days 00:00:27.754000,0 days 00:00:17.568000,0 days 00:00:34.153000,7.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
BOR,Audi,1.0,0 days 00:02:01.211000,0 days 00:01:00.423000,0 days 00:00:20.911000,0 days 00:00:39.877000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
BOR,Audi,2.0,0 days 00:01:30.971000,0 days 00:00:31.456000,0 days 00:00:20.583000,0 days 00:00:38.932000,1.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
BOR,Audi,3.0,0 days 00:01:20.495000,0 days 00:00:28.263000,0 days 00:00:17.547000,0 days 00:00:34.685000,1.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
BOR,Audi,4.0,0 days 00:01:56.178000,0 days 00:00:42.607000,0 days 00:00:26.580000,0 days 00:00:46.991000,1.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
BOR,Audi,5.0,0 days 00:01:20.747000,0 days 00:00:28.435000,0 days 00:00:17.491000,0 days 00:00:34.821000,1.0,SOFT,5.0,1,Australian Grand Prix,Q,2026
BOR,Audi,6.0,,0 days 00:00:35.599000,0 days 00:00:20.231000,,1.0,SOFT,6.0,125,Australian Grand Prix,Q,2026
BOR,Audi,7.0,0 days 00:02:01.357000,0 days 00:00:55.665000,0 days 00:00:20.771000,0 days 00:00:44.921000,2.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
BOR,Audi,8.0,0 days 00:01:36.520000,0 days 00:00:31.483000,0 days 00:00:21.841000,0 days 00:00:43.196000,2.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
BOR,Audi,9.0,0 days 00:01:20.374000,0 days 00:00:28.374000,0 days 00:00:17.454000,0 days 00:00:34.546000,2.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
