Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
GAS,Alpine,15.0,0 days 00:01:27.327000,0 days 00:00:32.288000,0 days 00:00:18.541000,0 days 00:00:36.498000,2.0,HARD,15.0,12,Australian Grand Prix,FP3,2026
GAS,Alpine,16.0,0 days 00:01:24.437000,0 days 00:00:29.266000,0 days 00:00:17.954000,0 days 00:00:37.217000,2.0,HARD,16.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,17.0,0 days 00:01:23.782000,0 days 00:00:29.282000,0 days 00:00:17.924000,0 days 00:00:36.576000,2.0,HARD,17.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,18.0,0 days 00:01:23.528000,0 days 00:00:29.542000,0 days 00:00:17.790000,0 days 00:00:36.196000,2.0,HARD,18.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,19.0,0 days 00:01:43.895000,0 days 00:00:29.502000,0 days 00:00:18.044000,0 days 00:00:56.349000,2.0,HARD,19.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,20.0,,0 days 00:00:35.388000,0 days 00:00:19.756000,,3.0,HARD,20.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,21.0,,,,,4.0,SOFT,1.0,125,Australian Grand Prix,FP3,2026
GAS,Alpine,22.0,0 days 00:02:09.561000,0 days 00:01:05.361000,0 days 00:00:20.214000,0 days 00:00:43.986000,5.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,23.0,0 days 00:01:21.071000,0 days 00:00:28.456000,0 days 00:00:17.750000,0 days 00:00:34.865000,5.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,24.0,0 days 00:01:53.044000,0 days 00:00:43.657000,0 days 00:00:23.140000,0 days 00:00:46.247000,5.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,25.0,0 days 00:02:27.958000,0 days 00:00:31.095000,0 days 00:00:23.518000,0 days 00:01:33.345000,5.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026
GAS,Alpine,26.0,,0 days 00:00:32.633000,0 days 00:00:18.030000,,5.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,1.0,0 days 00:01:47.154000,0 days 00:00:42.371000,0 days 00:00:21.693000,0 days 00:00:43.090000,1.0,MEDIUM,1.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,2.0,0 days 00:01:25.722000,0 days 00:00:30.497000,0 days 00:00:18.193000,0 days 00:00:37.032000,1.0,MEDIUM,2.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,3.0,0 days 00:02:10.030000,0 days 00:00:45.499000,0 days 00:00:35.984000,0 days 00:00:48.547000,1.0,MEDIUM,3.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,4.0,0 days 00:01:24.397000,0 days 00:00:29.862000,0 days 00:00:18.168000,0 days 00:00:36.367000,1.0,MEDIUM,4.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,5.0,,0 days 00:00:46.284000,0 days 00:00:25.055000,,1.0,MEDIUM,5.0,1265,Australian Grand Prix,FP3,2026
PER,Cadillac,6.0,,0 days 00:01:27.896000,0 days 00:00:19.755000,0 days 00:00:42.760000,2.0,MEDIUM,6.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,7.0,0 days 00:01:27.702000,0 days 00:00:31.312000,0 days 00:00:18.418000,0 days 00:00:37.972000,2.0,MEDIUM,7.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,8.0,0 days 00:01:26.575000,0 days 00:00:30.404000,0 days 00:00:18.292000,0 days 00:00:37.879000,2.0,MEDIUM,8.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,9.0,0 days 00:01:26.259000,0 days 00:00:30.476000,0 days 00:00:18.220000,0 days 00:00:37.563000,2.0,MEDIUM,9.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,10.0,0 days 00:01:26.335000,0 days 00:00:30.374000,0 days 00:00:18.393000,0 days 00:00:37.568000,2.0,MEDIUM,10.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,11.0,0 days 00:01:26.565000,0 days 00:00:30.515000,0 days 00:00:18.150000,0 days 00:00:37.900000,2.0,MEDIUM,11.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,12.0,0 days 00:01:26.378000,0 days 00:00:30.519000,0 days 00:00:18.380000,0 days 00:00:37.479000,2.0,MEDIUM,12.0,12,Australian Grand Prix,FP3,2026
PER,Cadillac,13.0,0 days 00:01:26.129000,0 days 00:00:30.399000,0 days 00:00:18.290000,0 days 00:00:37.440000,2.0,MEDIUM,13.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,14.0,0 days 00:01:25.540000,0 days 00:00:30.056000,0 days 00:00:18.217000,0 days 00:00:37.267000,2.0,MEDIUM,14.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,15.0,0 days 00:01:26.181000,0 days 00:00:30.365000,0 days 00:00:18.304000,0 days 00:00:37.512000,2.0,MEDIUM,15.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,16.0,0 days 00:01:26.240000,0 days 00:00:30.409000,0 days 00:00:18.325000,0 days 00:00:37.506000,2.0,MEDIUM,16.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,17.0,,0 days 00:00:39.467000,0 days 00:00:23.518000,,2.0,MEDIUM,17.0,125,Australian Grand Prix,FP3,2026
PER,Cadillac,18.0,0 days 00:02:15.041000,0 days 00:01:02.300000,0 days 00:00:21.270000,0 days 00:00:51.471000,3.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,19.0,0 days 00:01:42.572000,0 days 00:00:37.660000,0 days 00:00:20.351000,0 days 00:00:44.561000,3.0,SOFT,2.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,20.0,,0 days 00:00:32.192000,0 days 00:00:24.388000,0 days 00:01:37.134000,3.0,SOFT,3.0,1,Australian Grand Prix,FP3,2026
PER,Cadillac,21.0,,0 days 00:00:35.386000,0 days 00:00:20.368000,,3.0,SOFT,4.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,1.0,0 days 00:02:13.092000,0 days 00:01:08.620000,0 days 00:00:19.972000,0 days 00:00:44.500000,1.0,SOFT,1.0,12,Australian Grand Prix,FP3,2026
ANT,Mercedes,2.0,0 days 00:01:47.429000,0 days 00:00:28.340000,0 days 00:00:17.523000,0 days 00:01:01.566000,1.0,SOFT,2.0,26,Australian Grand Prix,FP3,2026
ANT,Mercedes,3.0,0 days 00:01:55.667000,0 days 00:00:39.549000,0 days 00:00:23.798000,0 days 00:00:52.320000,1.0,SOFT,3.0,6,Australian Grand Prix,FP3,2026
ANT,Mercedes,4.0,,,,,1.0,SOFT,4.0,6512,Australian Grand Prix,FP3,2026
ANT,Mercedes,5.0,0 days 00:02:06.752000,0 days 00:00:57.818000,0 days 00:00:20.180000,0 days 00:00:48.754000,2.0,SOFT,5.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,6.0,0 days 00:01:20.324000,0 days 00:00:28.230000,0 days 00:00:17.582000,0 days 00:00:34.512000,2.0,SOFT,6.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,7.0,0 days 00:02:00.967000,0 days 00:00:36.259000,0 days 00:00:21.544000,0 days 00:01:03.164000,2.0,SOFT,7.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,8.0,0 days 00:01:57.270000,0 days 00:01:01.347000,0 days 00:00:18.581000,0 days 00:00:37.342000,3.0,SOFT,8.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,9.0,0 days 00:01:21.911000,0 days 00:00:28.533000,0 days 00:00:17.977000,0 days 00:00:35.401000,3.0,SOFT,9.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,10.0,0 days 00:01:22.126000,0 days 00:00:28.691000,0 days 00:00:17.942000,0 days 00:00:35.493000,3.0,SOFT,10.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,11.0,0 days 00:01:21.732000,0 days 00:00:28.657000,0 days 00:00:17.859000,0 days 00:00:35.216000,3.0,SOFT,11.0,12,Australian Grand Prix,FP3,2026
ANT,Mercedes,12.0,0 days 00:01:21.268000,0 days 00:00:28.396000,0 days 00:00:17.760000,0 days 00:00:35.112000,3.0,SOFT,12.0,21,Australian Grand Prix,FP3,2026
ANT,Mercedes,13.0,0 days 00:01:21.130000,0 days 00:00:28.302000,0 days 00:00:17.740000,0 days 00:00:35.088000,3.0,SOFT,13.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,14.0,0 days 00:01:21.170000,0 days 00:00:28.497000,0 days 00:00:17.719000,0 days 00:00:34.954000,3.0,SOFT,14.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,15.0,0 days 00:01:20.884000,0 days 00:00:28.377000,0 days 00:00:17.670000,0 days 00:00:34.837000,3.0,SOFT,15.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,16.0,,0 days 00:00:31.403000,0 days 00:00:19.474000,,3.0,SOFT,16.0,1,Australian Grand Prix,FP3,2026
ANT,Mercedes,17.0,0 days 00:01:38.493000,0 days 00:00:38.476000,0 days 00:00:20.137000,0 days 00:00:39.880000,4.0,SOFT,1.0,1,Australian Grand Prix,FP3,2026
